date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:19	633/633	---MCZ	200	added ('OK')	text/plain	date:Wed,%2026%20Aug%202026%2011:04:18%20GMT	https://hmed.cloud/robots.txt		(from )
14:04:19	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2026%20Aug%202026%2011:04:18%20GMT	https://hmed.cloud/ibnkathir_lab/	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/index.html	(from )
14:04:20	8533/8533	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Aug%202026%2011:04:19%20GMT	http://hmed.cloud/ibnkathir_lab/login.xhtml	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/login.html	(from https://hmed.cloud/ibnkathir_lab/)
14:04:20	633/633	---MCZ	200	added ('OK')	text/plain	date:Wed,%2026%20Aug%202026%2011:04:19%20GMT	http://hmed.cloud/robots.txt		(from https://hmed.cloud/ibnkathir_lab/)
14:04:20	201284/201284	---MCZ	200	added ('OK')	text/css	etag:W/%22201284-1690362178000%22	http://hmed.cloud/ibnkathir_lab/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=13.0.0&e=13.0.0	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/javax.faces.resource/theme.cssf78e.css	(from http://hmed.cloud/ibnkathir_lab/login.xhtml)
14:04:20	11263/11263	---MCZ	200	added ('OK')	text/css	etag:W/%2210975-1690362178000%22	http://hmed.cloud/ibnkathir_lab/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=13.0.0&e=13.0.0	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/javax.faces.resource/primeicons/primeicons.css4741.css	(from http://hmed.cloud/ibnkathir_lab/login.xhtml)
14:04:23	109081/109081	---MCZ	200	added ('OK')	text/css	etag:W/%22108745-1690362178000%22	http://hmed.cloud/ibnkathir_lab/javax.faces.resource/components.css.xhtml?ln=primefaces&v=13.0.0&e=13.0.0	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/javax.faces.resource/components.css4741.css	(from http://hmed.cloud/ibnkathir_lab/login.xhtml)
14:04:26	431896/431896	---MCZ	200	added ('OK')	text/css	etag:W/%22431896-1654587484000%22	http://hmed.cloud/ibnkathir_lab/javax.faces.resource/css/primeflex.css.xhtml	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/javax.faces.resource/css/primeflex.css.css	(from http://hmed.cloud/ibnkathir_lab/login.xhtml)
14:04:26	57270/57270	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257270-1690362178000%22	http://hmed.cloud/ibnkathir_lab/javax.faces.resource/core.js.xhtml?ln=primefaces&v=13.0.0&e=13.0.0	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/javax.faces.resource/core.js4741.xhtml	(from http://hmed.cloud/ibnkathir_lab/login.xhtml)
14:04:27	87462/87462	---MCZ	200	added ('OK')	application/javascript	etag:W/%2287462-1690362178000%22	http://hmed.cloud/ibnkathir_lab/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=13.0.0&e=13.0.0	C:/My%20Web%20Sites/lap/hmed.cloud/ibnkathir_lab/javax.faces.resource/jquery/jquery.js4741.xhtml	(from http://hmed.cloud/ibnkathir_lab/login.xhtml)
